,open,high,low,close,volume
2013-10-02 15:21:01.700,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:01.800,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:01.900,1435.75,1435.75,1435.75,1435.75,3.0
2013-10-02 15:21:02.300,1435.75,1435.75,1435.75,1435.75,3.0
2013-10-02 15:21:02.700,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:02.800,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:02.900,1435.75,1436.0,1435.75,1436.0,4.0
2013-10-02 15:21:03.400,1436.0,1436.0,1436.0,1436.0,25.0
2013-10-02 15:21:03.500,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:04.200,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:04.300,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:04.400,1436.0,1436.0,1436.0,1436.0,848.0
2013-10-02 15:21:04.500,1436.0,1436.0,1436.0,1436.0,8.0
2013-10-02 15:21:04.600,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:04.700,1436.0,1436.0,1436.0,1436.0,20.0
2013-10-02 15:21:04.800,1435.75,1436.0,1435.75,1435.75,30.0
2013-10-02 15:21:05.400,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:05.500,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:05.800,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:05.900,1435.75,1436.0,1435.75,1436.0,53.0
2013-10-02 15:21:06.100,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:06.300,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:06.600,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:06.700,1436.0,1436.0,1435.75,1435.75,70.0
2013-10-02 15:21:06.900,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:07.000,1436.0,1436.0,1435.75,1435.75,151.0
2013-10-02 15:21:07.100,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:07.300,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:07.400,1436.0,1436.0,1436.0,1436.0,75.0
2013-10-02 15:21:07.900,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:08.000,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:08.100,1436.0,1436.0,1436.0,1436.0,60.0
2013-10-02 15:21:08.200,1436.0,1436.0,1436.0,1436.0,15.0
2013-10-02 15:21:08.600,1436.0,1436.0,1436.0,1436.0,9.0
2013-10-02 15:21:08.800,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:09.000,1436.0,1436.0,1436.0,1436.0,200.0
2013-10-02 15:21:09.200,1436.0,1436.0,1436.0,1436.0,2.0
2013-10-02 15:21:09.300,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:09.500,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:09.700,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:10.300,1436.0,1436.0,1436.0,1436.0,291.0
2013-10-02 15:21:10.500,1436.0,1436.0,1436.0,1436.0,7.0
2013-10-02 15:21:10.600,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:10.700,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:10.900,1435.75,1436.0,1435.75,1436.0,20.0
2013-10-02 15:21:11.100,1435.75,1436.0,1435.75,1436.0,2.0
2013-10-02 15:21:11.200,1435.75,1435.75,1435.75,1435.75,1.0
2013-10-02 15:21:11.500,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:11.600,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:11.700,1436.0,1436.0,1436.0,1436.0,19.0
2013-10-02 15:21:11.800,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:12.000,1436.0,1436.0,1436.0,1436.0,5.0
2013-10-02 15:21:12.100,1436.0,1436.0,1436.0,1436.0,8.0
2013-10-02 15:21:13.100,1436.0,1436.0,1436.0,1436.0,11.0
2013-10-02 15:21:13.500,1436.0,1436.0,1436.0,1436.0,1.0
2013-10-02 15:21:13.900,1436.0,1436.0,1436.0,1436.0,11.0
2013-10-02 15:21:14.100,1436.0,1436.0,1435.75,1435.75,3.0
